LR,Gamma,Tau,Elapsed_Time,Final_Avg_Score
0.0001,0.95,0.001,557.2266340255737,-81.02420316206135
0.0001,0.95,0.01,411.87678503990173,-39.940377897946846
0.0001,0.95,0.1,487.1133120059967,-24.545247710455854
0.0001,0.99,0.001,428.15371918678284,161.67354452951813
0.0001,0.99,0.01,459.63608956336975,99.23242235439147
0.0001,0.99,0.1,388.7572305202484,187.3438979101549
0.0001,0.999,0.001,450.1120414733887,-6.62329978041684
0.0001,0.999,0.01,460.6447186470032,128.38313071790043
0.0001,0.999,0.1,516.25364112854,-109.14586287003807
0.0005,0.95,0.001,471.8320858478546,-7.808208800124626
0.0005,0.95,0.01,508.67742824554443,-75.87686716291424
0.0005,0.95,0.1,510.11250352859497,-60.9845591434526
0.0005,0.99,0.001,403.2119038105011,183.71159198663761
0.0005,0.99,0.01,355.9815101623535,262.8926829937893
0.0005,0.99,0.1,359.20618438720703,240.10548970851113
0.0005,0.999,0.001,403.0382978916168,188.11479045677342
0.0005,0.999,0.01,440.18373918533325,-19.27207978774251
0.0005,0.999,0.1,471.4678773880005,-551.328299180943
0.001,0.95,0.001,470.6889111995697,-56.12480624220003
0.001,0.95,0.01,477.584171295166,-56.678066749574675
0.001,0.95,0.1,473.4015951156616,-44.46594319251922
0.001,0.99,0.001,389.65485548973083,152.6380917597367
0.001,0.99,0.01,335.5674018859863,229.93055786301989
0.001,0.99,0.1,343.10480403900146,240.74755380347412
0.001,0.999,0.001,376.53729915618896,222.71177480639108
0.001,0.999,0.01,419.09609961509705,-313.49649740648647
0.001,0.999,0.1,423.67538952827454,-557.9595435422015
